 EMPRESA ; ID_EMPRESA ; TIPO_OPERADOR ; CANAL ; ANNO ; TRIMESTRE ; TIPO_SOLICITUD ; TEMATICA ; MECANISMO_RECEPCION ; CANTIDAD 
 ASOCIACION CANAL 5 DE TELEVISION LOCAL ;812008353; TV Sin Animo de Lucro - Local Abierta ; CANAL 5 MONTERÍA ;2019; 3 ; PETICIÓN ; OTRA ; APLICACIÓN MÓVIL ;1
 ASOCIACION CANAL 5 DE TELEVISION LOCAL ;812008353; TV Sin Animo de Lucro - Local Abierta ; CANAL 5 MONTERÍA ;2019; 4 ; QUEJA O RECLAMO ; OTRA ; APLICACIÓN MÓVIL ;1
 ASOCIACION CANAL 5 DE TELEVISION LOCAL ;812008353; TV Sin Animo de Lucro - Local Abierta ; CANAL 5 MONTERÍA ;2019; 4 ; SOLICITUD ; OTRA ; APLICACIÓN MÓVIL ;1
 ASOCIACION CANAL 5 DE TELEVISION LOCAL ;812008353; TV Sin Animo de Lucro - Local Abierta ; CANAL 5 MONTERÍA ;2019; 4 ; SOLICITUD ; OTRA ; E-MAIL ;1
 ASOCIACION CANAL 5 DE TELEVISION LOCAL ;812008353; TV Sin Animo de Lucro - Local Abierta ; CANAL 5 MONTERÍA ;2020; 1 ; QUEJA O RECLAMO ; PLURALISMO INFORMATIVO ; APLICACIÓN MÓVIL ;1
 ASOCIACION CANAL 5 DE TELEVISION LOCAL ;812008353; TV Sin Animo de Lucro - Local Abierta ; CANAL 5 MONTERÍA ;2020; 2 ; PETICIÓN ; OTRA ; APLICACIÓN MÓVIL ;1
 ASOCIACION CANAL 5 DE TELEVISION LOCAL ;812008353; TV Sin Animo de Lucro - Local Abierta ; CANAL 5 MONTERÍA ;2020; 2 ; SOLICITUD ; OTRA ; APLICACIÓN MÓVIL ;1
 ASOCIACION CANAL 5 DE TELEVISION LOCAL ;812008353; TV Sin Animo de Lucro - Local Abierta ; CANAL 5 MONTERÍA ;2020; 3 ; SOLICITUD ; OTRA ; APLICACIÓN MÓVIL ;1
 ASOCIACION CANAL 5 DE TELEVISION LOCAL ;812008353; TV Sin Animo de Lucro - Local Abierta ; CANAL 5 MONTERÍA ;2020; 3 ; SOLICITUD ; OTRA ; APLICACIÓN MÓVIL ;3
 ASOCIACION CANAL 5 DE TELEVISION LOCAL ;812008353; TV Sin Animo de Lucro - Local Abierta ; CANAL 5 MONTERÍA ;2021; 4 ; SOLICITUD ; OTRA ; TELEFONO ;2
 ASOCIACION CANAL 5 DE TELEVISION LOCAL ;812008353; TV Sin Animo de Lucro - Local Abierta ; CANAL 5 MONTERÍA ;2022; 1 ; SOLICITUD ; OTRA ; WEB ;1
 ASOCIACION CANAL 5 DE TELEVISION LOCAL ;812008353; TV Sin Animo de Lucro - Local Abierta ; CANAL 5 MONTERÍA ;2022; 3 ; SOLICITUD ; Otra ; LINEA TELEFÓNICA ;2
 ASOCIACION CANAL 5 DE TELEVISION LOCAL ;812008353; TV Sin Animo de Lucro - Local Abierta ; CANAL 5 MONTERÍA ;2022; 3 ; SOLICITUD ; Programación ; LINEA TELEFÓNICA ;1
